Index,Title,Link,Duration,Published At
1,"SAN IÑAZIOREN MARTXA EUSKERAZ/ MARCHA DE SAN IGNACIO EN EUSKERA/ MARCH OF SAINT IGNATIUS IN BASQUE",https://www.youtube.com/watch?v=lqpguDbasZY,"2m 22s","31/07/2021"
2,"AMA MAITE MARIA",https://www.youtube.com/watch?v=QE8A3lhygmY,"2m 51s","25/01/2022"
3,"GUREKIN EGON",https://www.youtube.com/watch?v=fVMJBJzroqI,"4m ","09/04/2023"
4,"SANCTUS EUSKERAZ I (KANTA DEZAGUN AINGERUEKIN)",https://www.youtube.com/watch?v=-0Quvy1r_2c,"1m 19s","09/04/2022"
5,"ZURE BIHOTZAK AMA MAITE",https://www.youtube.com/watch?v=sL3zUA4y-vY,"1m 13s","16/07/2022"
6,"SANCTUS EUSKERAZ II (SANTU, SANTU, SANTUA)",https://www.youtube.com/watch?v=QQK566Y-bh4,"1m 1s","21/08/2022"
7,"AGUR JESUSEN AMA",https://www.youtube.com/watch?v=iWvKnmazKPU,"1m 55s","08/12/2023"
8,"MAITASUNA BAKEAREKIN BATERA (KAXIANO)",https://www.youtube.com/watch?v=dZo5aoAwfZY,"1m 40s","05/02/2023"
9,"HIMNO DE LA VIRGEN DEL PILAR [con letra]/ PILAREKO AMAREN IMNOA  (LEKUNBERRI)",https://www.youtube.com/watch?v=OQsiy69baS8,"4m 12s","12/10/2021"
10,"BIHOTZ BATEZ ELKARTURIK",https://www.youtube.com/watch?v=k6tePDC0V-s,"1m 45s","11/09/2022"
11,"ARANTZAZUKO AMAREN IMNOA / HIMNO DE NUESTRA SEÑORA DE ARANZAZU",https://www.youtube.com/watch?v=mEzIBR2cvOs,"2m 42s","11/09/2021"
12,"ZER ZORION",https://www.youtube.com/watch?v=smCodkVGeW8,"3m 1s","16/12/2021"
13,"San Fko Xabierren Imnoa euskeraz eta erderaz/ Himno de san Fco  Javier en euskera y castellano",https://www.youtube.com/watch?v=s5F8sW6eanw,"1m 48s","03/12/2021"
14,"Eguberriko kontzertua- Aresoko haur eta gaztetxoak kantari (2020-XII-22)",https://www.youtube.com/watch?v=XqeJTigr7bI,"33m 35s","22/12/2020"
15,"MIKEL GUREA GORDE EUSKALERRIA",https://www.youtube.com/watch?v=QsXFHFVYpzk,"3m 2s","29/09/2021"
16,"ANGELUSA EUSKERAZ.  ""AINGERU BATEK MARIARI""",https://www.youtube.com/watch?v=eDDOa-8RpzA,"4m 13s","16/10/2022"
17,"GOAZEN, GOAZEN GUZTIOK/ MAIATZEKO LOREAK/ AINGERUTXOAK. ARESO",https://www.youtube.com/watch?v=cYH3pr-lvkI,"2m 32s","08/05/2022"
18,"ZURE ETXERA GOAZ JAUNA",https://www.youtube.com/watch?v=heCjTNdp7P8,"1m 55s","02/11/2022"
19,"ZERU LURREN ERREGINA (REGINA COELI EUSKERAZ)",https://www.youtube.com/watch?v=W0PbRzsxue0,"1m 35s","10/09/2023"
20,"JAINKOAREN AMA",https://www.youtube.com/watch?v=WMG1oki1g-w,"2m 16s","14/01/2024"
21,"OGI ZERUTIK ETORRIA",https://www.youtube.com/watch?v=ORt3ae9udL8,"2m 52s","11/06/2023"
22,"AINTZA ZERUAN JAUNARI",https://www.youtube.com/watch?v=QTtW-VC3gPM,"4m 48s","06/02/2022"
23,"AINTZA ZURI JAUNA (KLASIKOA)",https://www.youtube.com/watch?v=0q0fdGvCOCI,"2m 20s","08/08/2023"
24,"KRISTO GURE ERREGE",https://www.youtube.com/watch?v=vV9Mnkwoelw,"2m 20s","20/11/2022"
25,"O BIHOTZ GOZO JESUSENA",https://www.youtube.com/watch?v=rEE65FbA5ME,"2m 59s","05/06/2022"
26,"ZEIN GOZO TA EDER DEN",https://www.youtube.com/watch?v=CdEZj9J52RM,"1m 19s","02/10/2022"
27,"GURE ONDOAN JAUNA EGON ZAITEZ BETI",https://www.youtube.com/watch?v=gsdIRxjZl2I,"1m 52s","09/02/2022"
28,"POZIK IKUSTEN ZAITUGU ZERURA ZOAZELA",https://www.youtube.com/watch?v=F-K8YTFHUk0,"2m 28s","14/08/2022"
29,"SANCTUS EUSKERAZ VIII (SALAMANKARA)",https://www.youtube.com/watch?v=zfLzvRE_Hmo,"1m 8s","20/07/2023"
